X,Y,标注类别名称,预测类别,图像路径
-2.6309679,-9.270934,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\3.jpg
-2.228008,-8.414903,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\31.jpg
-2.1285536,-8.630476,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\49.jpg
-2.6912477,-8.750577,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\55.jpg
-3.111161,-8.330928,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\56.jpg
-2.2684994,-8.71998,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\58.jpg
-2.9880066,-7.2416673,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\63.jpg
-5.108012,-8.24065,刺猬,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\刺猬\72.jpg
-2.9443374,-6.4405875,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\74.jpg
10.917316,-3.673248,刺猬,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\刺猬\75.png
-2.0882287,-7.7512918,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\77.jpg
-2.1577208,-9.711494,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\81.jpg
-19.3155,-6.2558613,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\12.jpg
-18.439245,-5.6248875,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\14.jpg
-19.21824,-4.767925,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\19.jpg
-19.980528,-6.4173045,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\22.jpeg
-18.090666,-3.8933942,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\35.jpg
-19.366121,-6.9541187,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\39.jpg
-17.085112,-3.3766146,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\42.jpg
-19.548168,-5.767657,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\44.jpg
-18.31157,-4.2950444,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\53.jpg
-19.43959,-5.527538,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\56.jpg
-20.094782,-5.563271,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\66.jpg
-19.63817,-5.2846723,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\72.jpg
-21.196365,-6.8784757,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\78.jpg
-18.586739,-5.251253,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\80.jpg
-18.918697,-6.095714,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\91.jpg
-21.035107,-6.1561418,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\99.jpg
4.346728,-9.9326725,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\1.jpg
5.803067,-10.665377,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\10.jpg
5.325063,-10.517033,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\12.jpg
6.4313607,-10.088031,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\19.jpg
3.9123883,-9.535302,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\22.jpg
5.728689,-9.6823435,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\26.jpg
6.2194467,-9.205643,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\35.jpg
6.2773137,-9.093943,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\45.jpg
5.3696012,-10.160852,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\57.jpeg
4.875376,-9.790493,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\6.jpg
5.3556795,-9.672554,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\74.jpeg
5.962461,-10.027901,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\80.jpg
3.3427153,-9.730842,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\81.jpeg
14.201807,10.783156,大猩猩,大象,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\89.jpg
4.967215,-9.092714,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\92.jpg
5.78423,-10.239373,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\94.jpg
17.712923,13.204747,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\0.jpg
18.750414,12.353046,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\11.jpg
4.718493,1.0259839,大象,兔子,E:\Image classification\1-Build a dataset\dataset\val\大象\115.jpg
16.026371,10.92541,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\120.jpg
14.636665,11.692349,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\121.jpg
17.39837,13.927185,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\133.jpg
16.539124,12.427614,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\14.jpg
14.671404,10.984906,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\144.jpg
5.5353627,7.279998,大象,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\大象\147.jpg
12.270511,9.9579315,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\156.jpg
17.994493,11.645676,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\164.jpg
19.009317,12.663807,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\166.jpg
19.622557,11.831583,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\18.png
19.228014,13.286824,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\181.jpg
18.217335,13.129664,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\189.jpg
18.910551,11.311222,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\193.jpg
18.802757,11.905654,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\197.jpg
19.660103,10.676473,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\198.jpg
17.624708,12.04566,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\24.jpg
17.026817,13.21103,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\29.jpg
17.195093,12.66726,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\3.jpg
16.260464,11.426903,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\36.jpg
16.950027,12.220747,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\53.jpeg
17.771841,12.569375,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\58.jpg
17.31836,11.524114,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\6.jpg
18.76185,14.161884,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\60.jpg
18.8744,13.254213,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\66.jpg
18.527042,11.549079,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\67.jpg
18.516457,10.697756,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\79.jpg
18.130926,12.287813,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\83.jpg
7.7512083,-16.122927,大象,马,E:\Image classification\1-Build a dataset\dataset\val\大象\84.jpg
18.032196,12.805466,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\9.jpg
-8.748569,12.060215,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\13.jpg
-8.162394,12.191126,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\20.jpg
-8.49119,12.84724,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\28.jpg
-8.768561,13.813507,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\30.jpg
-7.9222164,12.091286,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\35.jpg
-8.412074,12.960991,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\36.jpg
-9.517422,12.581983,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\40.jpg
-8.44994,11.858264,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\47.jpg
-7.23495,13.66544,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\59.jpg
-9.112552,13.042471,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\65.jpg
-7.944399,13.462377,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\67.jpg
-8.631961,13.029712,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\71.jpg
-9.405227,13.639674,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\8.jpg
-13.099,13.079143,天鹅,蝙蝠,E:\Image classification\1-Build a dataset\dataset\val\天鹅\83.jpg
-1.5199507,10.267241,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\91.jpg
-8.324657,14.945668,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\96.jpg
11.127025,-5.0836678,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\1.jpg
11.79292,-5.3990593,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\18.jpg
10.470277,-4.464082,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\22.png
9.781189,-3.6481142,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\39.jpg
13.636242,0.06196296,小浣熊,蝙蝠,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\43.jpg
12.117463,-4.8391385,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\46.jpg
10.734526,-4.197473,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\56.jpg
10.226404,-5.6862874,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\59.jpg
11.017573,-5.4020457,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\6.jpg
11.151813,-5.857433,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\68.png
11.426829,-4.8042283,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\69.jpg
12.156169,-5.652682,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\7.jpg
11.851114,-5.577532,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\75.jpg
11.869366,-5.9337616,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\79.jpg
12.4415,-5.2486153,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\83.png
3.9431071,11.782258,小浣熊,大象,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\91.jpg
-29.03388,8.003262,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\0.jpg
-29.845293,8.161108,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\15.jpg
-28.662758,6.8220954,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\19.jpg
-29.549524,6.269179,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\2.jpg
-29.719934,7.401012,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\22.jpg
-29.570246,7.522883,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\23.jpg
-28.926666,7.9874496,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\25.jpg
-29.220757,6.849602,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\28.jpg
-29.832514,6.975258,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\32.jpg
-29.868734,8.1058035,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\39.jpg
-29.138756,7.408277,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\53.jpg
-28.499117,7.5061274,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\61.jpg
-28.668869,7.181266,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\63.jpg
-30.486296,7.6122823,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\7.jpg
-28.525932,6.170317,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\84.jpg
10.010831,-5.0595894,斑马,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\斑马\96.png
-12.988919,-8.318738,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\100.png
-11.074683,-8.819873,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\12.jpeg
-13.575923,-9.19645,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\20.png
-12.3517885,-8.680835,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\21.jpg
-12.527392,-9.689568,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\24.jpg
-13.661896,-9.234703,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\26.png
-11.7506,-7.9770446,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\30.png
-12.271291,-8.448188,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\4.jpg
-12.382725,-8.695386,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\40.jpg
-13.068951,-9.038623,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\46.jpg
-11.796644,-8.9512,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\53.jpg
-13.407098,-10.394469,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\59.jpg
-12.885981,-9.614223,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\66.png
-13.992596,-7.9764266,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\8.jpeg
-15.309417,-5.997465,昆虫,兔子,E:\Image classification\1-Build a dataset\dataset\val\昆虫\81.png
-12.112595,-9.477739,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\91.jpg
8.034831,-0.21859066,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\14.jpg
7.4609504,-2.3850477,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\16.jpg
7.953389,-0.8493693,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\19.jpg
7.3775306,0.92469585,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\2.png
7.409625,-0.6963122,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\30.jpg
7.070683,-0.5487677,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\36.jpg
5.8619056,-0.115806915,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\39.jpg
7.645654,-1.238054,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\41.jpg
7.9726644,-3.2810543,松鼠,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\松鼠\44.jpg
7.4245687,-0.70591724,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\46.jpg
7.7863965,-0.17342722,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\50.jpg
-10.233347,-8.122146,松鼠,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\松鼠\61.jpg
6.71678,-0.2660583,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\62.jpg
8.467462,-0.46021357,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\77.jpg
6.2645254,-1.1795152,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\83.jpg
7.8742895,0.066299304,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\90.jpg
5.235672,4.5486255,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\0.jpg
5.953932,4.9071875,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\22.jpg
5.8649206,5.247017,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\25.jpg
4.6279206,4.46422,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\28.jpg
5.6156135,4.191335,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\44.jpg
5.2763624,5.115444,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\48.jpg
5.0938425,4.7667694,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\51.jpg
4.743115,5.1268935,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\54.jpg
5.154405,4.2951655,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\62.jpg
4.9459243,5.5016494,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\73.jpg
5.395688,5.1679864,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\74.jpg
2.960868,6.1507483,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\75.jpg
2.867131,6.195327,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\81.jpg
2.940764,3.293348,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\83.jpg
3.3193626,3.844713,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\88.jpg
2.268611,6.8448133,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\96.jpg
0.7362247,-20.509735,梅花鹿,麋鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\11.jpeg
-2.6098597,-20.469637,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\12.jpg
-3.7195654,-19.974861,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\24.png
0.32878336,-20.061388,梅花鹿,麋鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\34.jpeg
-3.143825,-20.62999,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\38.png
-3.5851417,-21.150957,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\43.png
-3.8336806,-21.2192,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\52.png
-3.5056455,-20.75568,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\62.jpg
-3.1618795,-22.228125,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\74.jpg
-1.2689337,-19.4981,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\76.jpg
-3.1655493,-21.01494,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\86.jpg
-4.043462,-21.346548,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\87.jpg
-2.5187624,-22.40672,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\90.jpg
-4.2056966,-20.938087,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\92.jpg
-3.0067642,-19.966122,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\93.jpeg
-1.881323,-20.861082,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\97.png
-14.612714,-3.6784832,毛毛虫,鹦鹉,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\11.jpg
-8.445337,-8.440269,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\13.jpg
-6.6267176,-9.100613,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\24.jpg
-6.442776,-6.9649944,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\28.jpg
-8.182747,-8.16559,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\32.jpg
-9.651641,-8.33879,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\34.jpg
-9.962267,-7.8672657,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\35.jpg
-9.092321,-7.4616356,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\37.jpg
-7.7276335,-5.773913,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\52.jpg
-6.417266,-7.280449,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\60.jpg
3.7011287,-1.7063056,毛毛虫,鹅,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\63.jpg
-8.712166,-6.0574255,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\64.jpg
-8.507967,-7.7256913,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\68.jpg
17.795502,10.133089,毛毛虫,大象,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\72.jpg
-10.46908,-7.123698,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\8.jpg
1.9516875,2.7789218,毛毛虫,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\93.jpg
8.385852,20.56823,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\10.jpg
8.794786,20.552736,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\11.jpeg
-6.5961857,-9.789471,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\12.jpg
8.379305,19.769224,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\14.jpg
9.458728,20.970734,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\17.jpeg
8.376633,19.692064,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\20.jpg
9.583633,20.503485,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\26.jpg
8.2232685,19.168379,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\36.png
7.430514,20.185907,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\41.jpg
10.198512,20.970331,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\47.jpg
10.141651,20.688473,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\8.jpg
-27.582115,8.084845,水母,斑马,E:\Image classification\1-Build a dataset\dataset\val\水母\81.jpg
8.981911,20.979189,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\88.jpg
10.246343,21.357103,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\9.jpg
9.869301,17.672525,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\94.jpg
10.287449,20.552206,水母,水母,E:\Image classification\1-Build a dataset\dataset\val\水母\97.jpg
-8.118794,29.21136,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\1.png
-7.701329,28.97143,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\13.jpg
-8.766595,28.92555,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\24.png
-8.770435,28.986025,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\30.jpg
-8.157328,28.362598,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\36.jpg
-7.5509095,28.67832,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\4.jpg
-8.240018,28.815866,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\48.jpg
-8.596445,29.548801,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\55.jpg
-8.701727,29.56642,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\58.jpeg
-7.301785,29.271818,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\59.jpeg
-7.6489472,25.850264,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\6.png
-9.239016,28.310156,河马,河马,E:\Image classification\1-Build a dataset\dataset\val\河马\71.jpg
