X,Y,Z,标注类别名称,预测类别,图像路径
-10.650267,-7.7832594,-9.25492,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\53.jpg
-11.069768,-5.656132,-9.553794,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\56.jpg
-11.0504675,-3.9248123,-9.868599,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\66.jpg
-11.694239,-4.8271365,-8.714632,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\72.jpg
-9.154267,-3.835224,-12.027775,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\78.jpg
-10.270891,-5.6365304,-7.9997616,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\80.jpg
-9.781921,-6.595845,-11.225999,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\91.jpg
-11.162753,-3.2022648,-11.9093275,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\99.jpg
3.463121,7.910163,2.4501336,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\1.jpg
5.4998126,10.126583,0.50220925,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\10.jpg
3.0150397,10.240491,2.375459,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\12.jpg
5.009859,9.844745,2.528596,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\19.jpg
1.9253771,7.205345,2.0237873,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\22.jpg
2.2233303,9.430257,1.1517609,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\26.jpg
2.5682306,9.549271,-0.7744291,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\35.jpg
2.19901,10.700393,-0.30109507,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\45.jpg
3.9281852,9.453702,1.1370859,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\57.jpeg
3.1877313,7.900422,0.53432786,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\6.jpg
4.488946,8.794587,-0.19025359,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\74.jpeg
4.0666933,10.600072,-0.3082483,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\80.jpg
2.7986774,5.8561716,2.087247,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\81.jpeg
6.725606,7.3465943,4.5628247,大猩猩,大象,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\89.jpg
5.1264343,7.796154,1.2189037,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\92.jpg
3.8836808,11.039205,1.2246794,大猩猩,大猩猩,E:\Image classification\1-Build a dataset\dataset\val\大猩猩\94.jpg
10.977434,10.048799,7.9266915,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\0.jpg
9.198622,8.498964,10.744463,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\11.jpg
-0.93492067,0.35615373,-7.895791,大象,兔子,E:\Image classification\1-Build a dataset\dataset\val\大象\115.jpg
11.722764,7.755559,5.8408723,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\120.jpg
8.965572,5.8164988,5.986858,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\121.jpg
10.919754,11.907991,7.5127697,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\133.jpg
9.672369,9.489174,6.0844703,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\14.jpg
8.150604,7.218221,5.057373,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\144.jpg
-4.2243266,-3.068938,-5.664396,大象,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\大象\147.jpg
8.465181,4.9757457,3.156784,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\156.jpg
8.376146,8.291656,9.150461,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\164.jpg
9.258426,10.584972,11.000654,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\166.jpg
7.322007,7.2624083,10.391918,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\18.png
10.841782,9.1683855,11.238307,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\181.jpg
10.977396,8.574001,9.113555,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\189.jpg
6.607198,9.338858,9.3311825,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\193.jpg
7.7741294,9.397162,10.683205,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\197.jpg
5.1167502,9.431776,10.61074,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\198.jpg
7.622734,9.519664,7.2283015,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\24.jpg
8.671207,11.363217,6.96119,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\29.jpg
9.361478,9.450932,7.814426,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\3.jpg
10.897514,7.591793,7.0127277,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\36.jpg
8.913683,7.826899,7.5321016,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\53.jpeg
9.361735,11.41082,8.828881,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\58.jpg
10.047552,7.091651,9.327214,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\6.jpg
10.619241,12.063665,10.621026,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\60.jpg
11.433239,10.250651,9.986756,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\66.jpg
7.385105,11.028223,10.277876,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\67.jpg
6.000085,8.221878,8.288417,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\79.jpg
8.023915,10.488546,8.643127,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\83.jpg
2.5181534,9.375336,10.172734,大象,马,E:\Image classification\1-Build a dataset\dataset\val\大象\84.jpg
9.6031065,9.8474,9.373707,大象,大象,E:\Image classification\1-Build a dataset\dataset\val\大象\9.jpg
14.23673,5.674577,-3.1577108,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\13.jpg
15.806107,5.5607195,-1.2539194,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\20.jpg
14.287771,4.583,-1.8925649,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\28.jpg
14.136368,2.9328897,-2.4498136,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\30.jpg
16.020563,5.0417967,-2.8921673,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\35.jpg
14.594329,4.152822,-0.8737932,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\36.jpg
13.186832,6.53139,-1.3426323,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\40.jpg
15.166104,6.658182,-2.174071,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\47.jpg
14.926174,2.604388,0.33997914,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\59.jpg
12.625083,4.8425817,-1.5728972,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\65.jpg
13.104872,2.9361818,-0.7838685,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\67.jpg
13.754243,5.1291995,-0.22846119,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\71.jpg
12.895784,3.9040601,-3.0728803,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\8.jpg
8.482988,1.2959609,-9.811517,天鹅,蝙蝠,E:\Image classification\1-Build a dataset\dataset\val\天鹅\83.jpg
12.377896,2.635094,2.3970926,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\91.jpg
12.4166765,1.4456948,-2.2150283,天鹅,天鹅,E:\Image classification\1-Build a dataset\dataset\val\天鹅\96.jpg
-8.845455,4.902221,-4.4513416,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\1.jpg
-9.572343,5.8708196,-5.425829,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\18.jpg
-7.075118,4.990857,-5.1836123,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\22.png
-5.707887,4.3200283,-5.6755595,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\39.jpg
1.4170712,0.27244622,-14.360039,小浣熊,蝙蝠,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\43.jpg
-10.484982,4.4708204,-5.6519856,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\46.jpg
-8.116006,3.3146865,-4.886982,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\56.jpg
-9.430936,4.092874,-2.9095035,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\59.jpg
-9.459878,6.054406,-3.6077447,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\6.jpg
-8.005284,6.8613973,-4.845601,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\68.png
-8.557805,4.844819,-6.3207746,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\69.jpg
-10.966835,6.346492,-5.2395124,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\7.jpg
-9.021879,6.767727,-6.395647,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\75.jpg
-9.790131,7.521824,-5.0898175,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\79.jpg
-10.452086,5.846483,-6.96499,小浣熊,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\83.png
10.055006,-1.6251277,5.663608,小浣熊,大象,E:\Image classification\1-Build a dataset\dataset\val\小浣熊\91.jpg
0.3492204,-9.963695,15.297275,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\0.jpg
1.3227661,-10.695715,16.75918,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\15.jpg
-1.3246804,-7.745608,16.166683,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\19.jpg
-0.7550399,-7.0132904,17.91706,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\2.jpg
0.319991,-9.077242,16.86835,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\22.jpg
1.8612772,-8.957602,17.062246,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\23.jpg
-1.3618643,-9.254974,17.313051,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\25.jpg
1.0586199,-7.130223,16.759047,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\28.jpg
0.38522673,-8.268566,18.170202,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\32.jpg
-0.29916835,-10.759654,16.947071,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\39.jpg
1.6678315,-8.563458,15.581826,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\53.jpg
-1.1242093,-9.192087,15.174438,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\61.jpg
0.020025443,-7.903636,15.4194355,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\63.jpg
0.64343756,-10.096807,18.61675,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\7.jpg
-0.8059819,-6.1360292,15.865338,斑马,斑马,E:\Image classification\1-Build a dataset\dataset\val\斑马\84.jpg
-7.149423,5.786669,-3.2903807,斑马,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\斑马\96.png
-3.0954444,-13.00261,-0.8369075,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\100.png
-5.2256117,-10.496173,-1.2750665,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\12.jpeg
-2.3349442,-14.0438795,-2.919607,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\20.png
-2.7826538,-11.95662,-2.3217063,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\21.jpg
-5.3242593,-14.172225,-1.282278,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\24.jpg
-3.127158,-14.727581,-3.5727603,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\26.png
-3.7424212,-11.554909,-4.1674023,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\30.png
-3.9177775,-11.861472,-1.675337,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\4.jpg
-4.0469646,-12.779316,-3.2060466,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\40.jpg
-3.6396039,-14.085107,-1.9168833,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\46.jpg
-5.6250567,-12.041058,-2.4862642,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\53.jpg
-4.52294,-16.090513,-1.8110445,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\59.jpg
-5.0964303,-14.209408,-2.9255846,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\66.png
-3.5579607,-14.077219,0.6363006,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\8.jpeg
-6.276908,-6.135453,-8.845702,昆虫,兔子,E:\Image classification\1-Build a dataset\dataset\val\昆虫\81.png
-5.4301667,-12.722984,-0.8675713,昆虫,昆虫,E:\Image classification\1-Build a dataset\dataset\val\昆虫\91.jpg
-4.976352,0.72447544,-12.607683,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\14.jpg
-6.532156,1.1609961,-8.651728,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\16.jpg
-4.9353786,2.3581274,-12.045087,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\19.jpg
-2.012458,2.1972792,-11.799903,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\2.png
-3.8759375,1.5704279,-10.742462,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\30.jpg
-4.8859634,0.12637235,-9.825671,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\36.jpg
-2.4398673,1.4509778,-8.820558,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\39.jpg
-4.6082993,3.0112224,-10.555606,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\41.jpg
-7.2510233,1.0839702,-6.9214735,松鼠,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\松鼠\44.jpg
-5.1354647,1.3532157,-10.620077,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\46.jpg
-4.443499,-0.3762399,-11.692004,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\50.jpg
-6.2260475,-9.067761,-2.702636,松鼠,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\松鼠\61.jpg
-3.1806772,0.16693884,-10.43097,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\62.jpg
-6.41198,0.89218765,-11.743125,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\77.jpg
-4.009654,1.8442737,-8.494782,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\83.jpg
-3.5371969,0.9642742,-12.569205,松鼠,松鼠,E:\Image classification\1-Build a dataset\dataset\val\松鼠\90.jpg
0.25654367,8.51524,-10.408736,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\0.jpg
-0.023116399,9.045346,-12.059897,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\22.jpg
-0.55814266,7.486876,-12.842628,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\25.jpg
-0.9374621,7.709615,-9.346642,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\28.jpg
-1.2958329,9.710812,-10.283574,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\44.jpg
-1.7001307,7.21787,-11.792388,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\48.jpg
-1.0715498,8.114048,-10.779116,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\51.jpg
-1.2732446,6.057825,-10.578391,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\54.jpg
-2.1500363,8.942368,-11.775381,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\62.jpg
-2.6021328,7.542448,-10.226376,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\73.jpg
0.03478224,6.9679666,-11.295129,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\74.jpg
2.4854698,6.1885962,-9.539975,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\75.jpg
2.6983979,6.486736,-8.993843,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\81.jpg
-0.44466868,7.7476025,-6.968669,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\83.jpg
-0.24424095,9.092624,-7.5959125,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\88.jpg
2.9558814,8.005188,-8.120706,树袋熊,树袋熊,E:\Image classification\1-Build a dataset\dataset\val\树袋熊\96.jpg
-0.09957855,1.0795175,10.710162,梅花鹿,麋鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\11.jpeg
-3.2605226,-2.4229505,9.971714,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\12.jpg
-4.3624496,-2.567368,7.826746,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\24.png
0.10626428,-0.7641316,9.357458,梅花鹿,麋鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\34.jpeg
-4.626644,-2.2569797,10.579146,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\38.png
-6.628471,-1.3116671,10.054303,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\43.png
-6.763414,-1.7326242,8.556456,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\52.png
-5.398353,-2.823225,9.171632,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\62.jpg
-5.702414,-0.5213875,11.63854,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\74.jpg
-3.0219193,1.18778,7.993182,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\76.jpg
-5.111367,-1.251196,9.513066,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\86.jpg
-7.1854677,-2.7817674,9.472098,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\87.jpg
-5.35585,0.999576,11.114623,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\90.jpg
-6.2301636,-2.8542397,10.927857,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\92.jpg
-5.3755183,-0.832086,7.6137476,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\93.jpeg
-3.756763,0.038400844,10.008466,梅花鹿,梅花鹿,E:\Image classification\1-Build a dataset\dataset\val\梅花鹿\97.png
-6.9460664,-9.551712,-5.4584928,毛毛虫,鹦鹉,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\11.jpg
-1.8482573,-7.61495,-1.8725473,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\13.jpg
-5.7635407,-7.2651353,-0.43651047,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\24.jpg
-4.090532,-4.605355,-2.293852,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\28.jpg
-3.4151793,-7.312689,-1.5832366,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\32.jpg
-3.126006,-9.445276,-2.1957653,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\34.jpg
-4.6904383,-9.021585,-2.9215133,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\35.jpg
-2.6445513,-8.4594,-4.1920953,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\37.jpg
-4.2834024,-4.5443945,-4.3148255,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\52.jpg
-4.2588954,-5.3204575,-1.4139512,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\60.jpg
2.0118406,3.3268774,-1.3374833,毛毛虫,鹅,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\63.jpg
-4.0742626,-6.463233,-5.078018,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\64.jpg
-2.9130456,-7.1006255,-3.1457396,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\68.jpg
6.2332683,12.032681,8.696097,毛毛虫,大象,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\72.jpg
-4.6895666,-9.6953745,-4.478587,毛毛虫,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\毛毛虫\8.jpg
